Distance,TimeMs,Speed,Throttle,Brake,Steer,nGear
355.12109375,5763,95,0.0,100.0,0.0504394993185997,0
355.94140625,5796,92,0.0,100.0,0.09029130637645721,0
356.7421875,5829,90,0.0,100.0,0.12958039343357086,0
357.515625,5863,88,0.0,100.0,0.16830122470855713,0
358.26953125,5896,86,0.0,100.0,0.20671463012695312,0
359.0078125,5929,84,0.0,100.0,0.24477240443229675,0
359.72265625,5962,82,0.0,100.0,0.2823670208454132,0
360.41796875,5994,80,0.0,100.0,0.319219708442688,0
361.109375,6027,79,0.0,74.25540685653687,0.35608774423599243,0
361.79296875,6060,78,0.0,22.694891691207886,0.3925642669200897,0
362.46875,6093,77,0.0,0.0,0.42801833152770996,0
363.140625,6126,77,0.0,0.0,0.4623112678527832,0
363.80859375,6159,76,0.0,0.0,0.49555888772010803,0
364.46484375,6192,76,0.0,0.0,0.5276780724525452,0
365.109375,6225,76,0.0,0.0,0.5586145520210266,0
365.73828125,6258,75,0.0,0.0,0.44412505626678467,0
366.3671875,6291,75,0.0,0.0,0.36038461327552795,0
366.984375,6323,75,0.0,0.0,0.28810566663742065,0
367.59765625,6356,74,0.0,0.0,0.2092953473329544,0
368.203125,6388,74,0.0,0.0,0.23702237010002136,0
368.80859375,6421,74,0.0,0.0,0.2620229423046112,0
369.41015625,6453,74,0.0,0.0,0.19736863672733307,0
370.01171875,6485,73,0.0,0.0,0.13192857801914215,0
370.60546875,6518,73,0.0,0.0,0.07193360477685928,0
371.37890625,6550,73,0.0,0.0,0.016715645790100098,0
372.1640625,6591,73,0.0,0.0,0.07482060045003891,0
372.91796875,6634,73,0.0,0.0,0.1315922886133194,0
373.66796875,6675,72,0.0,0.0,0.18386133015155792,0
374.453125,6716,72,0.0,0.0,0.23407825827598572,0
375.30078125,6756,72,0.0,0.0,0.2816775441169739,0
376.16796875,6797,71,0.0,0.0,0.3273884057998657,0
376.84765625,6838,71,0.0,0.0,0.3709794282913208,0
377.5234375,6869,71,0.0,0.0,0.4030185341835022,0
378.2421875,6899,71,0.0,0.0,0.4331420063972473,0
378.98046875,6931,70,0.0,0.0,0.46365484595298767,0
379.7421875,6962,70,0.0,0.0,0.4932478070259094,0
380.53125,6994,70,0.0,0.0,0.521994411945343,0
381.35546875,7025,69,0.0,0.0,0.550157368183136,0
382.20703125,7057,69,0.0,0.0,0.577980637550354,0
383.10546875,7088,69,0.0,0.0,0.6051473617553711,0
384.05078125,7120,68,0.0,0.0,0.632090151309967,0
385.0390625,7152,68,0.0,0.0,0.6586122512817383,0
386.08203125,7183,67,0.0,0.0,0.6847060918807983,0
387.19140625,7215,67,0.0,0.0,0.7103565335273743,0
388.375,7246,67,0.0,0.0,0.7355431318283081,0
389.66796875,7278,66,0.0,0.0,0.7577778100967407,0
391.03515625,7310,66,0.0,0.0,0.7694864869117737,0
392.33984375,7341,65,0.0,0.0,0.7670831084251404,0
393.59375,7372,65,0.0,0.0,0.7801077365875244,0
394.80859375,7403,64,0.0,0.0,0.7819206118583679,0
395.98828125,7434,64,0.0,0.0,0.7959506511688232,0
397.1484375,7465,63,0.0,0.0,0.806847870349884,0
398.2890625,7496,63,0.0,0.0,0.8046420812606812,0
399.4296875,7527,63,0.0,0.0,0.6367128491401672,0
400.56640625,7557,63,0.0,0.0,0.5370449423789978,0
401.71875,7588,62,0.0,0.0,0.4437401294708252,0
402.8828125,7619,62,0.0,0.0,0.35633423924446106,0
404.06640625,7649,62,3.13725508749485,0.0,0.2811316251754761,0
405.265625,7680,62,6.666667014360428,0.0,0.30984926223754883,0
406.5,7710,62,8.235294371843338,0.0,0.3513715863227844,0
407.546875,7741,62,8.627451211214066,0.0,0.3917379379272461,0
408.484375,7772,62,9.019608050584793,0.0,0.43081188201904297,0
409.3828125,7802,62,9.41176488995552,0.0,0.4689779281616211,0
410.2421875,7833,61,10.196078568696976,0.0,0.506397545337677,0
411.06640625,7864,61,15.294118225574493,0.0,0.5425174236297607,0
411.859375,7896,61,21.176470816135406,0.0,0.5773725509643555,0
412.62890625,7927,61,25.882354378700256,0.0,0.6113051176071167,0
413.375,7958,61,27.843138575553894,0.0,0.6437698602676392,0
414.09375,7990,61,28.23529541492462,0.0,0.6750770807266235,0
414.78515625,8021,61,28.23529541492462,0.0,0.7050658464431763,0
415.45703125,8052,61,29.019609093666077,0.0,0.7336401343345642,0
416.1171875,8083,61,28.62745225429535,0.0,0.7612050771713257,0
416.83203125,8114,61,29.019609093666077,0.0,0.7879887223243713,0
417.5234375,8148,61,29.019609093666077,0.0,0.6729196906089783,0
418.2109375,8182,62,29.019609093666077,0.0,0.5617015957832336,0
418.8828125,8216,62,28.62745225429535,0.0,0.4586521089076996,0
419.54296875,8250,62,28.23529541492462,0.0,0.36375856399536133,0
420.1953125,8284,62,28.23529541492462,0.0,0.276263952255249,0
420.83203125,8318,63,28.23529541492462,0.0,0.19643950462341309,0
421.3984375,8352,63,28.23529541492462,0.0,0.12365253269672394,0
